v1,v2,v3,v4,v5,target
0.700847263,2.198721569,-0.746434843,-2.103307741,2.811799303,0
-0.429755598,-1.126671792,1.636643103,0.69699986,2.395478929,1
1.425660024,0.789092159,-1.198602637,-1.75544517,-0.512477379,0
-0.091554552,3.548700814,-0.325516171,-0.21490011,0.605035268,0
-0.163159185,1.444837274,-0.674849798,-2.873976335,1.299093199,0
-0.498100907,-1.336495999,-0.099647283,1.440220726,1.219869807,1
0.005322158,1.477544087,-3.537362091,-2.408726593,3.329895191,0
1.217439287,-1.43939853,2.615041074,0.463438527,2.456774047,1
0.674916279,0.373402647,2.336117682,-0.087442459,3.031647362,1
-2.334742405,-3.495000964,2.002075111,2.565125314,0.600744933,1
-1.052724803,2.166226732,-1.001360473,-0.773607983,3.394164243,0
-1.168617418,-3.114538632,1.887748208,1.19501504,-0.354901275,1
0.656660977,-1.841205832,0.392862179,1.831315669,1.107628243,1
-0.190696649,1.308256003,-0.246074285,-2.995674859,0.062550742,0
-1.103223402,-2.101530524,0.773024083,1.916913524,1.945065343,1
-1.703137846,-0.204530447,1.892122632,1.706399718,0.361821211,1
-1.10497031,-1.664811069,0.41235965,0.71719347,1.879469689,1
0.194216244,1.627522716,-1.232045965,0.341980417,2.178335013,0
-0.462046734,-0.19722869,-3.506431218,-2.979874226,3.265912426,0
-0.635651127,1.011414872,-0.951282748,-3.027273906,2.809607286,0
-0.107261308,-2.470267316,2.34890622,2.710213237,2.622810247,1
0.376058353,1.110133111,-1.1420713,-2.181141716,1.279723976,0
-1.309288354,-2.493488339,1.770029488,2.112928959,2.286010096,1
-0.900154789,-1.584885037,1.202747943,0.812350035,1.417135857,1
-0.331734318,-1.988019402,0.800055528,1.333543129,0.050955612,1
1.182357968,2.578848669,-1.067718783,-1.805390568,1.978384818,0
-1.027361398,-1.537051639,2.771637175,2.332031318,1.86537264,1
-0.697265797,-2.571506913,3.038593761,1.457535188,1.2487492,1
-2.880776535,-0.485300408,1.697707226,1.956917138,2.71538359,1
-1.089381188,0.984802982,-1.712361728,-1.426170667,1.285351876,0
-0.544303598,-1.00178888,-2.787654183,-2.171113653,2.320249069,0
-0.100760783,2.135755082,0.365479699,-3.420824467,0.456293015,0
1.343952728,0.956866005,-1.636096829,-1.761217706,0.355696677,0
-1.379727986,-3.362729429,2.517420539,2.088763901,1.748340308,1
-0.488696743,1.762826919,-0.519304224,-2.439773314,2.206207126,0
0.103445952,-0.237281276,2.082713865,1.317243711,3.819155249,1
-0.837556229,0.079481247,2.163199294,3.478447482,3.750278641,1
0.830693232,0.571767016,-1.684728983,-2.873731842,0.397809272,0
1.304279163,2.124041039,-2.637685737,-1.599358102,1.16712403,0
-2.722405975,0.435578911,1.123093051,-0.71935231,1.870045254,0
-1.130603908,-0.630780715,-0.083487717,2.478302541,0.759148337,1
1.446462811,3.316947857,0.134362092,-0.537437794,1.616157304,0
-0.433941355,1.341207754,-0.074002631,-0.677402237,2.404814402,0
-1.431719537,-1.348442428,3.373076196,-0.936093438,2.282086106,1
-1.097729467,-1.435868932,2.278310328,2.574690142,1.759317969,1
-0.069252402,0.928541261,-0.739500526,-0.807430573,5.178448335,0
0.068268511,1.146897953,-2.073493553,-2.716987447,1.188859699,0
0.274987048,-0.044013784,-0.931755434,-1.742015221,2.715409982,0
0.443635517,1.598839105,-1.97354433,-2.784361202,2.373763709,0
-0.487011068,-2.282392596,2.905666564,2.370962744,0.876682023,1
-1.684611473,0.125065614,-2.151646212,-1.271250678,1.031989611,0
-1.242369813,-1.035793356,2.084110691,1.904661464,1.335657446,1
-0.823474679,1.732149748,-1.72639299,-1.823992417,1.062226762,0
-0.953058436,2.681049164,-2.318131623,-0.615790562,2.315108856,0
0.216563033,-0.712971672,-3.635964001,-0.958783715,0.828296485,0
-0.555769364,-1.254388431,3.266489015,1.102743103,1.744657579,1
0.950095538,-1.326422766,2.111010032,1.536063644,-0.153911963,1
-0.404582232,1.457872878,-1.129971972,-2.713740811,1.369974235,0
-0.521991323,-2.365637731,0.718658558,1.373117421,0.887449301,1
-0.01303577,0.929112443,-1.746111179,-2.363414365,0.806316287,0
-2.33057673,-1.706529023,4.102739399,0.570644378,1.174788806,1
-0.498809661,-2.607259123,-0.100712507,1.402449784,2.348862942,1
0.63999807,-0.636027471,-0.026599091,-4.040884753,1.334230257,0
-0.661385369,0.984318115,-1.7572951,-1.661849351,2.2138477,0
-0.916231507,2.301492007,-0.014924534,-0.464822275,0.947829133,0
-0.742354053,-3.116231595,1.472478535,1.422544237,0.572308894,1
-0.934230456,1.286462101,-1.81184575,-3.807846528,1.426096297,0
-1.54715418,0.422008755,1.9437261,-0.255616136,2.652411541,0
0.371750766,-2.262636939,1.471402668,3.365832049,2.515521944,1
-2.561152121,-2.107921198,2.769696869,0.649019393,1.377537698,1
-0.61755062,-1.54871134,3.185441931,4.150138255,2.787315509,1
1.074232625,-1.644067097,-0.383114214,2.239175525,-0.478973567,1
0.077502069,2.09206467,-2.313556354,-0.778619376,1.270301749,0
-1.32002157,0.002447293,1.187291442,0.557441654,2.367942186,1
-1.026374788,-1.917395939,2.344508455,0.564913492,3.62526144,1
-0.829808595,-2.640192671,1.201111208,0.338417732,0.041292724,1
0.346199214,3.247810806,-0.902801896,-1.678018587,2.271512561,0
-0.387848689,0.405407041,-1.603303919,-2.758065153,0.399154245,0
-1.747694304,0.459949268,-2.88041854,-1.658134088,1.35386403,0
-0.396315264,1.644813189,-1.409215459,-1.827868651,1.531199402,0
-0.418769989,0.672941024,0.116689325,2.789597183,1.341877314,1
-0.134549772,-1.802947802,-0.466041963,-2.167963769,1.298933371,0
-1.612582518,-1.379944025,1.691226036,1.640924583,2.665602233,1
-1.952649246,-0.026230704,-2.159937792,-2.154537011,2.294032343,0
0.330504326,0.597670039,2.11004191,-1.42091757,3.047838791,1
0.76978405,0.177456722,-3.121903466,-1.81873602,0.307333223,0
-0.116334959,-0.893894404,1.732526337,2.457398833,0.957175911,1
0.222936499,-2.556137147,0.61391778,1.212649394,0.370422037,1
-1.840322483,0.968933134,-0.280917428,-1.852235991,-0.059884676,0
1.210691929,2.148811354,-1.679966548,-0.917535791,0.092614159,0
0.476486459,-0.881010336,-2.098179829,0.556007937,-0.206966428,0
0.13118224,1.509306872,-1.284409053,0.115727517,1.474672263,0
-0.071283415,-1.519973209,3.303643636,1.788694306,1.784978679,1
-0.051626993,-0.90252796,1.831516905,1.256601134,2.399323559,1
-0.53821044,-0.199186756,-0.123868862,1.454525054,1.734335774,1
-0.304643714,-0.307536196,-1.221316046,-2.716121581,1.847068881,0
-1.636527437,-2.994098502,0.717545462,2.611186264,1.891617523,1
-1.388373304,0.808913908,1.080185406,2.263400194,2.032506856,1
0.496753787,-0.47763958,-0.634159339,-1.515876745,0.448753944,0
-0.500271126,2.603481343,-1.19173171,-2.848899161,1.693363812,0
-0.187713484,-2.88596264,1.320111635,1.608759262,1.646908541,1
-0.836885362,1.775148955,-0.748492372,-1.170490215,0.416579773,0
0.285362714,-2.31784292,1.60638752,2.715926349,1.348078578,1
0.608981013,-0.042162426,-0.518366867,-1.066078085,0.739712169,0
-1.599702054,-0.922280226,2.597330795,3.007872995,2.029136442,1
-0.35589205,-0.271451132,-0.368427461,-0.773191181,1.670156224,0
-2.492890464,-1.596491474,0.799895896,0.296820411,0.946731993,1
-1.259215266,1.747750163,0.174842606,0.109458136,0.578790986,0
0.15605764,1.292033053,-0.176327305,-1.272529802,1.15039042,0
-0.881956092,-0.980547516,2.081345793,2.108057474,1.762314205,1
-1.600120239,-1.364545469,0.018836045,-1.873826697,0.765295117,0
-1.602877768,-0.560521276,-2.099904161,0.720994697,1.286873371,0
0.621124246,-1.792094733,1.121145197,3.485516569,2.716008879,1
-1.895557031,-1.304997192,0.85074293,0.422434659,0.772513759,1
-0.434836577,1.037308438,-0.524959649,-2.9421437,2.404810441,0
-0.082177051,1.458654756,0.848031671,-1.41143107,2.592620322,0
0.145550055,-0.727908265,2.720766848,1.234695849,1.32117335,1
-1.669277323,1.339411587,-0.53156798,-1.891038479,2.373665647,0
-0.253728418,-1.25671725,0.74567518,3.038984622,0.377505647,1
-0.532398584,-2.258530127,2.473943125,1.106717968,2.540968303,1
0.120987203,1.764486573,-1.503081189,-0.631129194,2.0765154,0
-0.646094557,0.362291136,-1.113474316,-0.913535405,2.02236849,0
-0.037347062,0.73260838,-1.46892059,-2.37705793,1.985718873,0
-0.821325258,0.463615751,-0.245830941,-2.551610518,2.727885382,0
-1.033940299,-2.374195558,2.043800742,2.169437605,1.988366353,1
-0.74880035,-1.031289704,0.941007156,0.847295522,3.088440063,1
0.556527732,3.272206763,2.082112536,-1.217994283,2.718101912,0
-0.979705387,0.710967974,-0.784654414,-0.661657875,1.502176297,0
0.597118534,1.934207291,-1.108458044,-0.493790155,2.285573063,0
-0.611246622,-1.116319645,1.510127051,0.957045169,2.025752759,1
